Time_s,Raw_EMG,Envelope_EMG
0.0004,-291.0,324.0
0.0006,198.0,326.0
0.0008,278.0,330.0
0.0009,-130.0,332.0
0.0012,-171.0,332.0
0.0015,29.0,332.0
0.0017,52.0,330.0
0.0018,8.0,328.0
0.002,-33.0,328.0
0.0021,13.0,328.0
0.0023,98.0,326.0
0.0024,-19.0,324.0
0.0026,-129.0,322.0
0.0028,-18.0,320.0
0.0029,60.0,318.0
0.003,56.0,320.0
0.0032,48.0,320.0
0.0033,-65.0,318.0
0.0035,-149.0,320.0
0.0036,33.0,316.0
0.0038,279.0,318.0
0.0039,72.0,318.0
0.0041,-408.0,320.0
0.0042,-258.0,324.0
0.0044,415.0,328.0
0.0045,432.0,332.0
0.0047,-295.0,334.0
0.0048,-491.0,338.0
0.005,169.0,336.0
0.0052,466.0,340.0
0.0054,-81.0,334.0
0.0056,-437.0,340.0
0.0058,-31.0,336.0
0.0059,368.0,338.0
0.0061,182.0,340.0
0.0063,-185.0,338.0
0.0066,-278.0,338.0
0.0067,-57.0,336.0
0.0069,239.0,334.0
0.007,224.0,334.0
0.0072,-108.0,332.0
0.0076,-245.0,330.0
0.0078,-15.0,328.0
0.008,171.0,324.0
0.0082,69.0,326.0
0.0084,-95.0,322.0
0.0087,-51.0,324.0
0.0089,65.0,324.0
0.009,0.0,322.0
0.0092,-43.0,322.0
0.0094,47.0,318.0
0.0096,-32.0,318.0
0.0098,-80.0,314.0
0.0099,170.0,316.0
0.0101,94.0,312.0
0.0102,-294.0,316.0
0.0104,-81.0,314.0
0.0105,296.0,318.0
0.0107,39.0,316.0
0.0108,-114.0,318.0
0.011,50.0,314.0
0.0111,-160.0,318.0
0.0113,-201.0,316.0
0.0114,329.0,318.0
0.0116,351.0,320.0
0.0117,-313.0,320.0
0.0119,-425.0,326.0
0.012,205.0,328.0
0.0122,407.0,332.0
0.0124,-124.0,332.0
0.0126,-345.0,334.0
0.0127,106.0,330.0
0.0129,304.0,334.0
0.013,-96.0,328.0
0.0132,-279.0,328.0
0.0135,23.0,326.0
0.0137,220.0,326.0
0.0139,88.0,326.0
0.0141,-137.0,328.0
0.0143,-164.0,328.0
0.0145,88.0,326.0
0.0148,151.0,326.0
0.015,-109.0,324.0
0.0151,-42.0,320.0
0.0153,199.0,322.0
0.0155,-118.0,322.0
0.0156,-329.0,326.0
0.0158,222.0,328.0
0.0159,413.0,332.0
0.0161,-165.0,332.0
0.0162,-341.0,334.0
0.0164,-7.0,334.0
0.0165,110.0,332.0
0.0167,124.0,330.0
0.0168,127.0,330.0
0.017,-85.0,328.0
0.0171,-205.0,332.0
0.0173,-30.0,328.0
0.0174,100.0,326.0
0.0175,69.0,322.0
0.0177,57.0,318.0
0.0178,-12.0,316.0
0.018,-134.0,314.0
0.0181,0.0,312.0
0.0182,140.0,312.0
0.0184,-94.0,312.0
0.0185,-172.0,316.0
0.0187,155.0,316.0
0.0188,237.0,318.0
0.019,-35.0,316.0
0.0191,-223.0,318.0
0.0193,-160.0,320.0
0.0194,94.0,320.0
0.0196,198.0,322.0
0.0198,19.0,318.0
0.0199,-43.0,320.0
0.02,-5.0,318.0
0.0202,-116.0,318.0
0.0204,-86.0,318.0
0.0206,122.0,318.0
0.0207,143.0,316.0
0.0208,21.0,314.0
0.021,-86.0,310.0
0.0211,-187.0,312.0
0.0213,-72.0,308.0
0.0214,238.0,312.0
0.0216,238.0,310.0
0.0217,-160.0,310.0
0.0219,-323.0,312.0
0.022,54.0,310.0
0.0222,334.0,310.0
0.0223,-24.0,308.0
0.0225,-346.0,312.0
0.0226,63.0,312.0
0.0228,397.0,318.0
0.0229,-39.0,318.0
0.0231,-384.0,324.0
0.0232,-83.0,324.0
0.0234,210.0,326.0
0.0235,142.0,328.0
0.0236,15.0,326.0
0.0238,-34.0,326.0
0.0239,-111.0,328.0
0.0241,-130.0,328.0
0.0242,38.0,328.0
0.0244,187.0,330.0
0.0245,65.0,328.0
0.0246,-101.0,330.0
0.0248,-35.0,326.0
0.0249,-15.0,324.0
0.0251,-142.0,320.0
0.0252,32.0,318.0
0.0254,304.0,316.0
0.0255,64.0,310.0
0.0258,-277.0,310.0
0.026,-171.0,304.0
0.0262,63.0,302.0
0.0263,191.0,298.0
0.0265,181.0,300.0
0.0267,-106.0,294.0
0.0268,-297.0,300.0
0.027,-28.0,294.0
0.0272,225.0,294.0
0.0273,161.0,294.0
0.0274,-41.0,290.0
0.0276,-286.0,294.0
0.0278,-127.0,292.0
0.0279,347.0,294.0
0.028,190.0,296.0
0.0282,-271.0,296.0
0.0284,-137.0,298.0
0.0285,100.0,296.0
0.0286,39.0,296.0
0.0288,43.0,296.0
0.0289,29.0,296.0
0.029,-83.0,296.0
0.0292,-42.0,296.0
0.0293,1.0,296.0
0.0295,-8.0,294.0
0.0296,153.0,296.0
0.0297,129.0,298.0
0.0299,-281.0,300.0
0.0301,-263.0,302.0
0.0302,302.0,302.0
0.0303,264.0,304.0
0.0305,-250.0,304.0
0.0306,-64.0,304.0
0.0308,267.0,306.0
0.031,-169.0,308.0
0.0311,-384.0,312.0
0.0312,204.0,312.0
0.0314,409.0,314.0
0.0315,-71.0,310.0
0.0317,-218.0,308.0
0.0318,11.0,302.0
0.032,20.0,298.0
0.0322,-89.0,294.0
0.0324,-65.0,292.0
0.0325,88.0,288.0
0.0326,248.0,290.0
0.0328,160.0,288.0
0.033,-267.0,290.0
0.0331,-477.0,294.0
0.0332,62.0,294.0
0.0335,536.0,300.0
0.0336,113.0,300.0
0.0338,-274.0,302.0
0.034,-35.0,300.0
0.0341,-32.0,300.0
0.0342,-218.0,300.0
0.0344,111.0,300.0
0.0345,392.0,306.0
0.0347,-15.0,302.0
0.0348,-353.0,306.0
0.0349,17.0,302.0
0.0351,227.0,302.0
0.0352,-222.0,298.0
0.0354,-246.0,300.0
0.0355,385.0,300.0
0.0357,422.0,308.0
0.0358,-238.0,310.0
0.036,-493.0,314.0
0.0361,-109.0,314.0
0.0363,296.0,318.0
0.0364,326.0,320.0
0.0365,21.0,320.0
0.0367,-277.0,322.0
0.0369,-212.0,324.0
0.037,97.0,326.0
0.0371,203.0,328.0
0.0372,0.0,326.0
0.0374,-128.0,328.0
0.0375,56.0,326.0
0.0377,114.0,328.0
0.0379,-154.0,326.0
0.0381,-106.0,326.0
0.0383,195.0,326.0
0.0385,-3.0,326.0
0.0387,-198.0,324.0
0.0388,191.0,326.0
0.0389,192.0,326.0
0.0391,-346.0,330.0
0.0393,-171.0,332.0
0.0395,385.0,336.0
0.0397,121.0,338.0
0.0398,-269.0,340.0
0.04,19.0,340.0
0.0401,95.0,340.0
0.0403,-277.0,342.0
0.0404,-53.0,342.0
0.0406,471.0,348.0
0.0407,137.0,348.0
0.0409,-431.0,352.0
0.041,-140.0,352.0
0.0411,288.0,352.0
0.0413,6.0,350.0
0.0414,-275.0,348.0
0.0415,78.0,350.0
0.0417,384.0,350.0
0.0418,32.0,350.0
0.042,-409.0,352.0
0.0421,-245.0,354.0
0.0423,231.0,352.0
0.0424,327.0,356.0
0.0425,8.0,350.0
0.0427,-199.0,352.0
0.0428,-68.0,350.0
0.0429,28.0,348.0
0.0431,-83.0,350.0
0.0432,29.0,348.0
0.0433,247.0,352.0
0.0435,-22.0,350.0
0.0437,-290.0,354.0
0.0439,29.0,350.0
0.0441,262.0,354.0
0.0442,-26.0,352.0
0.0444,-220.0,356.0
0.0445,-14.0,356.0
0.0448,150.0,356.0
0.0449,15.0,356.0
0.0451,-78.0,352.0
0.0453,117.0,352.0
0.0454,112.0,350.0
0.0456,-271.0,352.0
0.0458,-277.0,356.0
0.0459,192.0,356.0
0.046,376.0,358.0
0.0462,84.0,358.0
0.0463,-235.0,356.0
0.0465,-184.0,360.0
0.0466,21.0,356.0
0.0467,-22.0,354.0
0.0469,14.0,354.0
0.047,236.0,352.0
0.0471,37.0,352.0
0.0473,-272.0,350.0
0.0474,3.0,348.0
0.0475,248.0,346.0
0.0477,-53.0,346.0
0.0478,-251.0,348.0
0.048,-22.0,348.0
0.0481,192.0,350.0
0.0483,127.0,352.0
0.0484,-19.0,350.0
0.0485,-87.0,352.0
0.0487,-132.0,354.0
0.0488,-49.0,354.0
0.049,88.0,352.0
0.0491,63.0,352.0
0.0492,103.0,350.0
0.0494,71.0,346.0
0.0495,-244.0,346.0
0.0497,-95.0,342.0
0.0499,270.0,342.0
0.0501,-150.0,344.0
0.0503,-297.0,344.0
0.0505,465.0,350.0
0.0506,374.0,350.0
0.0508,-553.0,354.0
0.0509,-399.0,354.0
0.0511,395.0,360.0
0.0513,272.0,360.0
0.0514,-237.0,364.0
0.0516,-32.0,364.0
0.0517,272.0,366.0
0.0519,-191.0,368.0
0.052,-437.0,374.0
0.0522,304.0,376.0
0.0523,527.0,380.0
0.0525,-313.0,382.0
0.0526,-430.0,380.0
0.0527,273.0,384.0
0.0529,214.0,380.0
0.053,-225.0,380.0
0.0532,-13.0,376.0
0.0533,219.0,380.0
0.0535,-99.0,380.0
0.0536,-296.0,382.0
0.0537,88.0,382.0
0.054,383.0,382.0
0.0544,44.0,382.0
0.0547,-319.0,382.0
0.0549,-157.0,384.0
0.0551,84.0,382.0
0.0553,95.0,380.0
0.0555,130.0,378.0
0.0558,92.0,372.0
0.0561,-185.0,370.0
0.0563,-225.0,370.0
0.0566,159.0,364.0
0.0567,217.0,366.0
0.0569,-204.0,364.0
0.0573,-100.0,360.0
0.0574,352.0,366.0
0.0576,-52.0,362.0
0.0578,-523.0,368.0
0.0579,127.0,368.0
0.0581,587.0,374.0
0.0582,-87.0,374.0
0.0584,-452.0,380.0
0.0585,40.0,380.0
0.0586,182.0,380.0
0.0588,-55.0,380.0
0.0589,61.0,378.0
0.059,56.0,376.0
0.0592,-222.0,380.0
0.0593,-4.0,376.0
0.0595,332.0,378.0
0.0596,-3.0,376.0
0.0597,-368.0,376.0
0.0599,-124.0,376.0
0.0601,261.0,374.0
0.0602,337.0,378.0
0.0604,-9.0,374.0
0.0606,-481.0,380.0
0.0607,-272.0,382.0
0.0608,452.0,386.0
0.061,427.0,392.0
0.0611,-298.0,388.0
0.0613,-357.0,392.0
0.0614,167.0,388.0
0.0616,129.0,388.0
0.0619,-164.0,386.0
0.0621,44.0,386.0
0.0624,251.0,386.0
0.0626,-16.0,386.0
0.0627,-272.0,384.0
0.0629,-97.0,384.0
0.063,161.0,380.0
0.0632,75.0,378.0
0.0633,-53.0,376.0
0.0634,74.0,372.0
0.0635,75.0,372.0
0.0637,-163.0,372.0
0.0639,-168.0,374.0
0.064,131.0,374.0
0.0641,214.0,378.0
0.0643,-49.0,378.0
0.0644,-135.0,376.0
0.0646,-19.0,376.0
0.0648,-108.0,372.0
0.0649,22.0,372.0
0.0651,421.0,376.0
0.0652,53.0,376.0
0.0653,-584.0,382.0
0.0655,-116.0,382.0
0.0656,507.0,388.0
0.0658,78.0,390.0
0.0659,-328.0,394.0
0.0662,33.0,392.0
0.0664,223.0,394.0
0.0665,-138.0,392.0
0.0667,-239.0,390.0
0.0675,172.0,390.0
0.0725,289.0,390.0
0.0777,-150.0,390.0
0.0825,-256.0,390.0
0.0875,186.0,390.0
0.0927,139.0,392.0
0.0978,-337.0,398.0
0.1026,-21.0,398.0
0.1075,478.0,402.0
0.113,-87.0,402.0
0.1175,-497.0,406.0
0.1228,183.0,408.0
0.1275,480.0,412.0
0.1327,-158.0,414.0
0.1376,-522.0,418.0
0.1425,-43.0,418.0
0.1476,545.0,424.0
0.1528,285.0,426.0
0.1586,-433.0,432.0
0.1626,-384.0,438.0
0.1675,193.0,438.0
0.1725,297.0,442.0
0.1777,58.0,442.0
0.1827,-89.0,442.0
0.1875,-192.0,444.0
0.1926,-146.0,444.0
0.1975,156.0,444.0
0.2037,315.0,446.0
0.2082,-11.0,442.0
0.2126,-352.0,446.0
0.2177,-119.0,444.0
0.2225,290.0,440.0
0.228,143.0,436.0
0.2326,-254.0,432.0
0.2378,-118.0,428.0
0.2426,302.0,426.0
0.2476,173.0,424.0
0.2526,-322.0,426.0
0.2576,-274.0,430.0
0.2634,224.0,430.0
0.2678,266.0,430.0
0.2727,-120.0,426.0
0.2776,-162.0,424.0
0.2826,124.0,416.0
0.2876,120.0,414.0
0.2925,-138.0,410.0
0.2977,-162.0,408.0
0.3027,2.0,404.0
0.3075,139.0,402.0
0.3125,221.0,406.0
0.3175,-11.0,402.0
0.3227,-312.0,406.0
0.3276,-75.0,402.0
0.3328,212.0,404.0
0.3375,21.0,398.0
0.3425,-103.0,400.0
0.3476,78.0,396.0
0.3528,140.0,396.0
0.3577,-86.0,396.0
0.3637,-264.0,398.0
0.3675,-20.0,396.0
0.3726,308.0,400.0
0.3775,140.0,400.0
0.3825,-224.0,400.0
0.3877,-185.0,400.0
0.3927,102.0,398.0
0.3976,176.0,398.0
0.4024,-8.0,396.0
0.4078,-140.0,392.0
0.4127,-38.0,392.0
0.4177,55.0,386.0
0.4226,42.0,384.0
0.4274,40.0,376.0
0.4325,-74.0,376.0
0.4377,-85.0,370.0
0.4426,182.0,372.0
0.4477,124.0,370.0
0.4527,-258.0,374.0
0.4576,-189.0,376.0
0.4628,178.0,378.0
0.4678,213.0,378.0
0.4726,2.0,378.0
0.4776,-140.0,374.0
0.4826,-141.0,376.0
0.4876,24.0,372.0
0.4928,173.0,372.0
0.4982,46.0,368.0
0.5025,-128.0,366.0
0.5077,-64.0,366.0
0.5139,30.0,360.0
0.5177,72.0,356.0
0.523,114.0,352.0
0.528,-55.0,346.0
0.5326,-232.0,344.0
0.5376,4.0,338.0
0.5427,240.0,340.0
0.5477,30.0,338.0
0.5528,-151.0,338.0
0.5576,-27.0,338.0
0.5626,52.0,334.0
0.5676,44.0,336.0
0.5726,-4.0,330.0
0.5781,-163.0,332.0
0.5826,-53.0,330.0
0.5876,330.0,334.0
0.5932,224.0,336.0
0.5976,-335.0,342.0
0.6026,-417.0,346.0
0.6076,98.0,346.0
0.6126,434.0,350.0
0.6176,168.0,350.0
0.6226,-272.0,352.0
0.6277,-250.0,354.0
0.6327,106.0,354.0
0.6376,195.0,356.0
0.6427,-24.0,356.0
0.6475,-147.0,358.0
0.6525,-11.0,350.0
0.6575,121.0,352.0
0.6626,6.0,342.0
0.668,-74.0,342.0
0.6741,71.0,336.0
0.6776,45.0,334.0
0.6826,-167.0,332.0
0.6877,-68.0,332.0
0.6925,189.0,332.0
0.6979,74.0,332.0
0.703,-155.0,330.0
0.7077,-24.0,328.0
0.7126,148.0,326.0
0.7177,-2.0,324.0
0.723,-156.0,322.0
0.7279,-61.0,320.0
0.7338,113.0,320.0
0.7377,140.0,316.0
0.7426,-72.0,316.0
0.7479,-157.0,312.0
0.753,118.0,312.0
0.7579,171.0,308.0
0.7627,-179.0,308.0
0.7675,-215.0,304.0
0.7731,161.0,304.0
0.7779,233.0,298.0
0.783,-127.0,300.0
0.7879,-212.0,294.0
0.7928,129.0,292.0
0.7977,147.0,288.0
0.8027,-128.0,284.0
0.8078,-8.0,280.0
0.8131,126.0,278.0
0.8179,-127.0,280.0
0.8228,-113.0,280.0
0.8277,172.0,280.0
0.8327,20.0,278.0
0.8381,-196.0,278.0
0.8433,115.0,274.0
0.8479,286.0,280.0
0.8527,-157.0,276.0
0.8576,-358.0,280.0
0.8629,98.0,276.0
0.8675,282.0,280.0
0.8728,-62.0,276.0
0.8776,-94.0,276.0
0.8826,91.0,272.0
0.8877,-53.0,270.0
0.8928,-104.0,268.0
0.8976,57.0,264.0
0.9032,59.0,262.0
0.9079,68.0,258.0
0.9127,32.0,256.0
0.9177,-244.0,258.0
0.923,-195.0,260.0
0.9276,356.0,262.0
0.9326,398.0,266.0
0.9375,-327.0,270.0
0.9424,-497.0,278.0
0.9476,202.0,278.0
0.9527,417.0,282.0
0.9577,-60.0,282.0
0.9625,-210.0,280.0
0.9675,-78.0,280.0
0.9724,-43.0,278.0
0.9776,169.0,280.0
0.9826,240.0,282.0
0.9877,-177.0,284.0
0.9925,-290.0,286.0
0.9975,174.0,288.0
1.0026,225.0,286.0
1.0079,-232.0,290.0
1.0127,-163.0,288.0
1.0177,304.0,290.0
1.0224,177.0,290.0
1.0275,-318.0,292.0
1.0326,-257.0,294.0
1.0379,254.0,296.0
1.0427,343.0,300.0
1.0477,-123.0,300.0
1.0525,-357.0,306.0
1.0574,-29.0,306.0
1.0627,278.0,308.0
1.0677,118.0,310.0
1.0726,-181.0,312.0
1.0777,-119.0,312.0
1.0824,145.0,312.0
1.0874,104.0,312.0
1.0927,-145.0,310.0
1.0977,-124.0,308.0
1.1025,137.0,308.0
1.1076,148.0,306.0
1.1125,-126.0,308.0
1.1174,-140.0,308.0
1.1227,92.0,308.0
1.1277,100.0,310.0
1.1325,4.0,306.0
1.1376,-25.0,306.0
1.1424,-139.0,306.0
1.1477,-83.0,306.0
1.1528,228.0,310.0
1.1577,175.0,312.0
1.1627,-228.0,314.0
1.1675,-166.0,314.0
1.1725,197.0,314.0
1.1775,59.0,316.0
1.1826,-199.0,314.0
1.1876,23.0,314.0
1.1926,204.0,316.0
1.1974,-25.0,316.0
1.2024,-164.0,316.0
1.2077,8.0,316.0
1.2127,114.0,318.0
1.2177,-6.0,316.0
1.2226,-131.0,316.0
1.2279,-41.0,312.0
1.2327,215.0,312.0
1.2377,224.0,310.0
1.2425,-240.0,308.0
1.2476,-507.0,314.0
1.2524,96.0,308.0
1.2575,680.0,316.0
1.2625,127.0,314.0
1.2678,-588.0,320.0
1.2726,-214.0,322.0
1.2779,332.0,324.0
1.2825,95.0,324.0
1.2874,-106.0,324.0
1.2927,96.0,326.0
1.2977,-27.0,324.0
1.3027,-206.0,328.0
1.3075,124.0,328.0
1.3124,182.0,330.0
1.3174,-246.0,332.0
1.3229,-71.0,332.0
1.3277,380.0,336.0
1.3326,2.0,334.0
1.3375,-399.0,338.0
1.3426,-56.0,336.0
1.3477,218.0,340.0
1.3529,174.0,340.0
1.3574,26.0,340.0
1.3626,-265.0,342.0
1.3675,-104.0,342.0
1.3724,335.0,346.0
1.3777,-18.0,344.0
1.3825,-388.0,350.0
1.3875,178.0,350.0
1.3926,329.0,354.0
1.3974,-277.0,354.0
1.4025,-137.0,354.0
1.4077,344.0,356.0
1.4125,-50.0,354.0
1.4177,-382.0,356.0
1.4227,119.0,356.0
1.4274,370.0,360.0
1.4326,-44.0,358.0
1.4377,-315.0,360.0
1.4427,-158.0,360.0
1.4475,196.0,364.0
1.4525,341.0,368.0
1.4575,-3.0,366.0
1.4628,-292.0,368.0
1.4679,-164.0,368.0
1.4727,21.0,368.0
1.4775,191.0,368.0
1.4825,207.0,370.0
1.4877,-108.0,366.0
1.4926,-169.0,366.0
1.4974,81.0,362.0
1.5027,-59.0,362.0
1.5076,-187.0,360.0
1.5125,198.0,362.0
1.5175,264.0,366.0
1.5225,-181.0,366.0
1.5275,-162.0,368.0
1.5325,225.0,370.0
1.5374,8.0,370.0
1.5425,-368.0,374.0
1.5475,24.0,374.0
1.5528,367.0,378.0
1.5574,3.0,374.0
1.5627,-116.0,374.0
1.5675,60.0,368.0
1.5725,-178.0,366.0
1.5776,-212.0,364.0
1.5826,286.0,360.0
1.5876,315.0,362.0
1.5935,-223.0,360.0
1.5976,-311.0,364.0
1.6027,121.0,362.0
1.6078,251.0,364.0
1.6124,-2.0,364.0
1.6177,-140.0,364.0
1.6225,-113.0,362.0
1.6275,-38.0,360.0
1.6324,59.0,356.0
1.6376,170.0,356.0
1.6427,194.0,356.0
1.6477,-98.0,352.0
1.6525,-381.0,356.0
1.6575,-135.0,354.0
1.6625,258.0,354.0
1.6676,313.0,354.0
1.6725,98.0,352.0
1.6776,-275.0,352.0
1.6825,-382.0,354.0
1.6876,75.0,352.0
1.6926,367.0,352.0
1.6987,67.0,354.0
1.7026,-132.0,352.0
1.7075,-17.0,350.0
1.7125,-44.0,348.0
1.7176,-102.0,348.0
1.7225,19.0,346.0
1.7275,103.0,346.0
1.7325,112.0,344.0
1.7376,-13.0,342.0
1.7425,-235.0,344.0
1.7476,-36.0,342.0
1.7528,311.0,346.0
1.7576,31.0,344.0
1.7628,-329.0,348.0
1.7676,-24.0,346.0
1.7724,281.0,350.0
1.7776,18.0,350.0
1.7824,-186.0,352.0
1.7875,23.0,350.0
1.7926,119.0,348.0
1.7986,-60.0,346.0
1.8033,-110.0,344.0
1.8079,14.0,342.0
1.8126,41.0,340.0
1.8175,62.0,340.0
1.8226,169.0,340.0
1.8275,-41.0,340.0
1.833,-394.0,344.0
1.8379,-102.0,344.0
1.8426,445.0,348.0
1.8474,262.0,352.0
1.8525,-281.0,356.0
1.8575,-300.0,360.0
1.8625,39.0,358.0
1.8675,170.0,360.0
1.8726,104.0,358.0
1.8775,27.0,356.0
1.8824,-87.0,354.0
1.8876,-134.0,348.0
1.8925,-40.0,346.0
1.8975,52.0,336.0
1.9036,172.0,338.0
1.9075,159.0,330.0
1.9125,-226.0,330.0
1.9177,-307.0,330.0
1.9226,246.0,332.0
1.9275,265.0,336.0
1.9325,-326.0,338.0
1.9374,-92.0,340.0
1.9424,436.0,344.0
1.9476,-111.0,344.0
1.953,-477.0,348.0
1.9577,300.0,348.0
1.9625,419.0,354.0
1.9676,-403.0,354.0
1.9724,-298.0,360.0
1.9776,321.0,358.0
1.9826,120.0,358.0
1.9876,-74.0,356.0
1.9925,113.0,356.0
1.9976,-174.0,358.0
2.0026,-329.0,360.0
2.0075,270.0,362.0
2.0127,402.0,362.0
2.0176,-221.0,366.0
2.0225,-286.0,364.0
2.0275,180.0,364.0
2.0326,116.0,360.0
2.0379,-211.0,360.0
2.0425,-78.0,360.0
2.0476,172.0,356.0
2.0525,143.0,358.0
2.0574,28.0,352.0
2.0627,-153.0,352.0
2.0676,-259.0,352.0
2.0726,87.0,352.0
2.0775,346.0,352.0
2.0825,-28.0,350.0
2.0877,-254.0,352.0
2.093,27.0,346.0
2.0976,75.0,348.0
2.1026,-94.0,344.0
2.1075,73.0,342.0
2.1125,221.0,346.0
2.1175,-138.0,346.0
2.1225,-353.0,348.0
2.1276,141.0,348.0
2.1325,404.0,352.0
2.1375,-127.0,352.0
2.1425,-339.0,356.0
2.1475,127.0,356.0
2.1527,192.0,356.0
2.1577,-161.0,354.0
2.1627,-22.0,352.0
2.1675,242.0,352.0
2.1724,-93.0,350.0
2.1776,-314.0,356.0
2.1825,92.0,352.0
2.1876,270.0,356.0
2.1926,-1.0,350.0
2.1975,-97.0,350.0
2.2026,-86.0,350.0
2.2075,-94.0,350.0
2.2125,130.0,350.0
2.2178,226.0,350.0
2.2225,-116.0,348.0
2.2274,-283.0,348.0
2.2327,-6.0,344.0
2.2378,245.0,342.0
2.2426,207.0,344.0
2.2475,-133.0,342.0
2.2525,-342.0,348.0
2.2574,40.0,346.0
2.2629,315.0,350.0
2.2677,-19.0,348.0
2.2727,-176.0,350.0
2.2776,31.0,348.0
2.2825,6.0,346.0
2.2878,-41.0,344.0
2.2927,170.0,342.0
2.2976,60.0,340.0
2.3027,-323.0,342.0
2.3076,-98.0,338.0
2.3133,408.0,342.0
2.3178,149.0,340.0
2.3227,-411.0,342.0
2.3277,-191.0,342.0
2.3327,328.0,342.0
2.3375,184.0,344.0
2.3424,-173.0,344.0
2.3479,-88.0,346.0
2.3528,9.0,346.0
2.3576,-75.0,344.0
2.3626,80.0,346.0
2.3676,200.0,348.0
2.3727,-69.0,346.0
2.3778,-152.0,348.0
2.3825,58.0,346.0
2.3876,-70.0,346.0
2.3925,-164.0,344.0
2.3976,286.0,348.0
2.4027,367.0,348.0
2.4077,-293.0,354.0
2.4137,-513.0,356.0
2.4176,77.0,358.0
2.4227,457.0,362.0
2.4277,163.0,364.0
2.4328,-213.0,366.0
2.4382,-238.0,368.0
2.4426,-54.0,368.0
2.4476,136.0,370.0
2.4526,178.0,372.0
2.4575,5.0,370.0
2.4626,-111.0,370.0
2.4676,-45.0,370.0
2.4726,-55.0,364.0
2.4776,-58.0,364.0
2.4826,199.0,360.0
2.4876,245.0,360.0
2.4926,-247.0,360.0
2.4975,-403.0,360.0
2.5025,194.0,364.0
2.5076,452.0,368.0
2.5158,-89.0,368.0
2.5185,-372.0,372.0
2.5227,-38.0,372.0
2.5276,187.0,372.0
2.5325,177.0,376.0
2.5375,28.0,374.0
2.5426,-252.0,376.0
2.5477,-116.0,376.0
2.5528,209.0,374.0
2.5575,-56.0,372.0
2.5627,-185.0,370.0
2.5675,372.0,372.0
2.5725,351.0,372.0
2.5776,-504.0,378.0
2.5829,-582.0,380.0
2.5875,308.0,384.0
2.5925,573.0,386.0
2.5974,-23.0,382.0
2.6025,-268.0,378.0
2.6076,-40.0,374.0
2.6126,-76.0,370.0
2.6177,-122.0,366.0
2.6225,226.0,368.0
2.6275,286.0,372.0
2.6325,-155.0,372.0
2.6377,-282.0,374.0
2.6427,-23.0,370.0
2.6477,111.0,366.0
2.6525,208.0,364.0
2.6574,129.0,362.0
2.6627,-355.0,364.0
2.6677,-338.0,366.0
2.6726,427.0,370.0
2.6775,471.0,374.0
2.6825,-373.0,380.0
2.6877,-525.0,384.0
2.6926,208.0,386.0
2.6978,492.0,392.0
2.7027,-15.0,390.0
2.7075,-361.0,392.0
2.7125,-134.0,394.0
2.7182,149.0,390.0
2.7225,207.0,392.0
2.7277,103.0,390.0
2.7325,-175.0,392.0
2.7375,-305.0,396.0
2.7425,42.0,396.0
2.7476,324.0,400.0
2.7525,72.0,398.0
2.7576,-164.0,398.0
2.7626,-42.0,392.0
2.7675,11.0,390.0
2.7725,-47.0,386.0
2.7775,29.0,384.0
2.7825,31.0,378.0
2.7877,-62.0,378.0
2.7926,60.0,376.0
2.7975,161.0,376.0
2.8026,-79.0,376.0
2.8075,-219.0,376.0
2.8125,7.0,374.0
2.8178,100.0,372.0
2.8228,35.0,370.0
2.8275,176.0,370.0
2.8324,70.0,370.0
2.8376,-422.0,376.0
2.8425,-330.0,380.0
2.8475,434.0,384.0
2.8525,583.0,392.0
2.8574,-175.0,390.0
2.8627,-587.0,398.0
2.8677,-144.0,396.0
2.8727,301.0,400.0
2.8774,263.0,400.0
2.8824,10.0,398.0
2.8875,-156.0,398.0
2.8926,-69.0,394.0
2.8977,37.0,394.0
2.9026,-88.0,390.0
2.9076,-41.0,390.0
2.9125,224.0,392.0
2.9174,75.0,392.0
2.9226,-231.0,396.0
2.9275,-5.0,394.0
2.9326,180.0,396.0
2.9375,-137.0,396.0
2.9425,-142.0,394.0
2.9477,189.0,394.0
2.9527,83.0,390.0
2.9577,-55.0,388.0
2.9626,48.0,382.0
2.9676,-142.0,382.0
2.9725,-195.0,380.0
2.9775,214.0,380.0
2.9827,228.0,382.0
2.9876,-149.0,382.0
2.9926,-85.0,384.0
2.9975,80.0,384.0
3.0026,-128.0,384.0
3.008,-52.0,382.0
3.0127,231.0,384.0
3.0175,-51.0,382.0
3.0226,-199.0,384.0
3.0281,251.0,388.0
3.0325,160.0,388.0
3.0378,-358.0,388.0
3.0425,-170.0,386.0
3.0475,245.0,386.0
3.0525,167.0,380.0
3.0574,-20.0,378.0
3.0627,-99.0,374.0
3.0678,-121.0,372.0
3.0725,29.0,370.0
3.0776,146.0,368.0
3.0825,-21.0,368.0
3.0875,-164.0,368.0
3.0925,7.0,366.0
3.0975,165.0,368.0
3.1024,53.0,368.0
3.1075,-57.0,368.0
3.1124,-18.0,366.0
3.1175,-86.0,368.0
3.1225,-212.0,368.0
3.1276,88.0,364.0
3.1325,475.0,368.0
3.1375,61.0,364.0
3.1425,-534.0,368.0
3.1475,-186.0,364.0
3.1528,367.0,368.0
3.1576,155.0,366.0
3.1626,-171.0,368.0
3.1674,-26.0,364.0
3.1725,119.0,364.0
3.1775,-51.0,364.0
3.1827,-166.0,362.0
3.1876,32.0,362.0
3.1925,160.0,360.0
